group1,group2,meandiff,p-adj,lower,upper,reject,dbname
A,B,0.0,0.0058,0.0,0.0,True,sp|P27658|CO8A1_HUMAN
A,K,-0.0,0.792,-0.0,0.0,False,sp|P27658|CO8A1_HUMAN
B,K,-0.0,0.0014,-0.0,-0.0,True,sp|P27658|CO8A1_HUMAN
A,B,-0.0,0.0181,-0.0001,-0.0,True,sp|P28799|GRN_HUMAN
A,K,0.0,0.5872,-0.0,0.0001,False,sp|P28799|GRN_HUMAN
B,K,0.0001,0.0012,0.0,0.0001,True,sp|P28799|GRN_HUMAN
A,B,-0.0,0.5967,-0.0002,0.0001,False,sp|P28838|AMPL_HUMAN
A,K,-0.0002,0.0003,-0.0003,-0.0001,True,sp|P28838|AMPL_HUMAN
B,K,-0.0002,0.0055,-0.0003,-0.0,True,sp|P28838|AMPL_HUMAN
A,B,-0.0,0.6358,-0.0,0.0,False,sp|P30559|OXYR_HUMAN
A,K,0.0,0.0025,0.0,0.0,True,sp|P30559|OXYR_HUMAN
B,K,0.0,0.002,0.0,0.0,True,sp|P30559|OXYR_HUMAN
A,B,-0.0,0.8487,-0.0,0.0,False,sp|P31323|KAP3_HUMAN
A,K,-0.0001,0.0017,-0.0001,-0.0,True,sp|P31323|KAP3_HUMAN
B,K,-0.0001,0.004,-0.0001,-0.0,True,sp|P31323|KAP3_HUMAN
A,B,0.0,0.005,0.0,0.0001,True,sp|P31483|TIA1_HUMAN
A,K,-0.0,0.9212,-0.0,0.0,False,sp|P31483|TIA1_HUMAN
B,K,-0.0,0.0024,-0.0001,-0.0,True,sp|P31483|TIA1_HUMAN
A,B,-0.0003,0.0001,-0.0004,-0.0002,True,sp|P32929|CGL_HUMAN
A,K,-0.0001,0.139,-0.0001,0.0,False,sp|P32929|CGL_HUMAN
B,K,0.0002,0.0006,0.0001,0.0003,True,sp|P32929|CGL_HUMAN
A,B,-0.0001,0.0004,-0.0002,-0.0,True,sp|P35232|PHB1_HUMAN
A,K,-0.0,0.8414,-0.0001,0.0,False,sp|P35232|PHB1_HUMAN
B,K,0.0001,0.0022,0.0,0.0001,True,sp|P35232|PHB1_HUMAN
A,B,-0.0001,0.001,-0.0002,-0.0001,True,sp|P35268|RL22_HUMAN
A,K,-0.0002,0.0003,-0.0003,-0.0001,True,sp|P35268|RL22_HUMAN
B,K,-0.0,0.9135,-0.0001,0.0001,False,sp|P35268|RL22_HUMAN
A,B,-0.0,0.8468,-0.0,0.0,False,sp|P36021|MOT8_HUMAN
A,K,0.0,0.0023,0.0,0.0,True,sp|P36021|MOT8_HUMAN
B,K,0.0,0.0009,0.0,0.0,True,sp|P36021|MOT8_HUMAN
A,B,-0.0001,0.0126,-0.0002,-0.0,True,sp|P38117|ETFB_HUMAN
A,K,0.0001,0.3747,-0.0,0.0002,False,sp|P38117|ETFB_HUMAN
B,K,0.0002,0.0003,0.0001,0.0003,True,sp|P38117|ETFB_HUMAN
A,B,0.0001,0.0712,-0.0,0.0001,False,sp|P39023|RL3_HUMAN
A,K,-0.0,0.3,-0.0001,0.0,False,sp|P39023|RL3_HUMAN
B,K,-0.0001,0.0014,-0.0002,-0.0,True,sp|P39023|RL3_HUMAN
A,B,-0.0,0.0046,-0.0,-0.0,True,sp|P39059|COFA1_HUMAN
A,K,-0.0,0.0002,-0.0,-0.0,True,sp|P39059|COFA1_HUMAN
B,K,-0.0,0.4405,-0.0,0.0,False,sp|P39059|COFA1_HUMAN
A,B,0.0001,0.0031,0.0,0.0001,True,sp|P40424|PBX1_HUMAN
A,K,-0.0,0.7493,-0.0,0.0,False,sp|P40424|PBX1_HUMAN
B,K,-0.0001,0.0012,-0.0001,-0.0,True,sp|P40424|PBX1_HUMAN
A,B,0.0001,0.0058,0.0,0.0001,True,sp|P42166|LAP2A_HUMAN
A,K,-0.0,0.9218,-0.0,0.0,False,sp|P42166|LAP2A_HUMAN
B,K,-0.0001,0.001,-0.0001,-0.0,True,sp|P42166|LAP2A_HUMAN
A,B,0.0002,0.0197,0.0,0.0004,True,sp|P42677|RS27_HUMAN
A,K,0.0003,0.0025,0.0001,0.0005,True,sp|P42677|RS27_HUMAN
B,K,0.0001,0.7269,-0.0001,0.0002,False,sp|P42677|RS27_HUMAN
A,B,0.0,0.014,0.0,0.0001,True,sp|P46109|CRKL_HUMAN
A,K,-0.0,0.1353,-0.0001,0.0,False,sp|P46109|CRKL_HUMAN
B,K,-0.0001,0.0,-0.0001,-0.0,True,sp|P46109|CRKL_HUMAN
A,B,0.0001,0.0118,0.0,0.0001,True,sp|P46778|RL21_HUMAN
A,K,-0.0001,0.0005,-0.0001,-0.0,True,sp|P46778|RL21_HUMAN
B,K,-0.0002,0.0,-0.0002,-0.0001,True,sp|P46778|RL21_HUMAN
A,B,-0.0001,0.0054,-0.0001,-0.0,True,sp|P49184|DNSL1_HUMAN
A,K,-0.0001,0.0036,-0.0001,-0.0,True,sp|P49184|DNSL1_HUMAN
B,K,-0.0,0.9601,-0.0,0.0,False,sp|P49184|DNSL1_HUMAN
A,B,0.0,0.0026,0.0,0.0001,True,sp|P49903|SPS1_HUMAN
A,K,0.0,0.5719,-0.0,0.0,False,sp|P49903|SPS1_HUMAN
B,K,-0.0,0.0381,-0.0001,-0.0,True,sp|P49903|SPS1_HUMAN
